0	0	0
0	0.2	0
0	0.4	0
0	0.6	0
0	0.8	0
0	1	0
0	1.2	0
0	1.4	0
0	1.6	0
0	1.8	0
0	2	0
0	2.2	0
0	2.4	0
0	2.6	0
0	2.8	0
0	3	0
0	3.2	0
0	3.4	0
0	3.6	0
0	3.8	0
0	4	0
0	4.2	0
0	4.4	0
0	4.6	0
0	4.8	0
0	5	0
0	5.2	0
0	5.4	0
0	5.6	0
0	5.8	0
0	6	0
0	6.2	0
0	6.4	0
0	6.6	0
0	6.8	0
0	7	0
0	7.2	0
0	7.4	0
0	7.6	0
0	7.8	0
0	8	0
0	8.2	0
0	8.4	0
0	8.6	0
0	8.8	0
0	9	0
0	9.2	0
0	9.4	0
0	9.6	0
0	9.8	0
0	10	0
0.02	0	1.41421
0.02	0.2	0.289864
0.02	0.4	0.00300646
0.02	0.6	3.08858e-09
0.02	0.8	0
0.02	1	0
0.02	1.2	0
0.02	1.4	0
0.02	1.6	0
0.02	1.8	0
0.02	2	0
0.02	2.2	0
0.02	2.4	0
0.02	2.6	0
0.02	2.8	0
0.02	3	0
0.02	3.2	0
0.02	3.4	0
0.02	3.6	0
0.02	3.8	0
0.02	4	0
0.02	4.2	0
0.02	4.4	0
0.02	4.6	0
0.02	4.8	0
0.02	5	0
0.02	5.2	0
0.02	5.4	0
0.02	5.6	0
0.02	5.8	0
0.02	6	0
0.02	6.2	0
0.02	6.4	0
0.02	6.6	0
0.02	6.8	0
0.02	7	0
0.02	7.2	0
0.02	7.4	0
0.02	7.6	0
0.02	7.8	0
0.02	8	0
0.02	8.2	0
0.02	8.4	0
0.02	8.6	0
0.02	8.8	0
0.02	9	0
0.02	9.2	0
0.02	9.4	0
0.02	9.6	0
0.02	9.8	0
0.02	10	0
0.04	0	2
0.04	0.2	0.880177
0.04	0.4	0.0809204
0.04	0.6	6.30919e-05
0.04	0.8	3.15638e-15
0.04	1	1.8377e-52
0.04	1.2	4.34369e-183
0.04	1.4	0
0.04	1.6	0
0.04	1.8	0
0.04	2	0
0.04	2.2	0
0.04	2.4	0
0.04	2.6	0
0.04	2.8	0
0.04	3	0
0.04	3.2	0
0.04	3.4	0
0.04	3.6	0
0.04	3.8	0
0.04	4	0
0.04	4.2	0
0.04	4.4	0
0.04	4.6	0
0.04	4.8	0
0.04	5	0
0.04	5.2	0
0.04	5.4	0
0.04	5.6	0
0.04	5.8	0
0.04	6	0
0.04	6.2	0
0.04	6.4	0
0.04	6.6	0
0.04	6.8	0
0.04	7	0
0.04	7.2	0
0.04	7.4	0
0.04	7.6	0
0.04	7.8	0
0.04	8	0
0.04	8.2	0
0.04	8.4	0
0.04	8.6	0
0.04	8.8	0
0.04	9	0
0.04	9.2	0
0.04	9.4	0
0.04	9.6	0
0.04	9.8	0
0.04	10	0
0.06	0	2.44949
0.06	0.2	1.51256
0.06	0.4	0.411357
0.06	0.6	0.00855955
0.06	0.8	4.92582e-08
0.06	1	5.01316e-26
0.06	1.2	1.4287e-89
0.06	1.4	8.46669e-306
0.06	1.6	0
0.06	1.8	0
0.06	2	0
0.06	2.2	0
0.06	2.4	0
0.06	2.6	0
0.06	2.8	0
0.06	3	0
0.06	3.2	0
0.06	3.4	0
0.06	3.6	0
0.06	3.8	0
0.06	4	0
0.06	4.2	0
0.06	4.4	0
0.06	4.6	0
0.06	4.8	0
0.06	5	0
0.06	5.2	0
0.06	5.4	0
0.06	5.6	0
0.06	5.8	0
0.06	6	0
0.06	6.2	0
0.06	6.4	0
0.06	6.6	0
0.06	6.8	0
0.06	7	0
0.06	7.2	0
0.06	7.4	0
0.06	7.6	0
0.06	7.8	0
0.06	8	0
0.06	8.2	0
0.06	8.4	0
0.06	8.6	0
0.06	8.8	0
0.06	9	0
0.06	9.2	0
0.06	9.4	0
0.06	9.6	0
0.06	9.8	0
0.06	10	0
0.08	0	2.82843
0.08	0.2	2.03749
0.08	0.4	0.981822
0.08	0.6	0.115112
0.08	0.8	0.000178268
0.08	1	1.37044e-13
0.08	1.2	1.64699e-45
0.08	1.4	2.29759e-156
0.08	1.6	0
0.08	1.8	0
0.08	2	0
0.08	2.2	0
0.08	2.4	0
0.08	2.6	0
0.08	2.8	0
0.08	3	0
0.08	3.2	0
0.08	3.4	0
0.08	3.6	0
0.08	3.8	0
0.08	4	0
0.08	4.2	0
0.08	4.4	0
0.08	4.6	0
0.08	4.8	0
0.08	5	0
0.08	5.2	0
0.08	5.4	0
0.08	5.6	0
0.08	5.8	0
0.08	6	0
0.08	6.2	0
0.08	6.4	0
0.08	6.6	0
0.08	6.8	0
0.08	7	0
0.08	7.2	0
0.08	7.4	0
0.08	7.6	0
0.08	7.8	0
0.08	8	0
0.08	8.2	0
0.08	8.4	0
0.08	8.6	0
0.08	8.8	0
0.08	9	0
0.08	9.2	0
0.08	9.4	0
0.08	9.6	0
0.08	9.8	0
0.08	10	0
0.1	0	3.16228
0.1	0.2	2.46926
0.1	0.4	1.57224
0.1	0.6	0.474488
0.1	0.8	0.0132257
0.1	1	2.01208e-07
0.1	1.2	1.06171e-23
0.1	1.4	9.3055e-81
0.1	1.6	6.22165e-275
0.1	1.8	0
0.1	2	0
0.1	2.2	0
0.1	2.4	0
0.1	2.6	0
0.1	2.8	0
0.1	3	0
0.1	3.2	0
0.1	3.4	0
0.1	3.6	0
0.1	3.8	0
0.1	4	0
0.1	4.2	0
0.1	4.4	0
0.1	4.6	0
0.1	4.8	0
0.1	5	0
0.1	5.2	0
0.1	5.4	0
0.1	5.6	0
0.1	5.8	0
0.1	6	0
