0	0	0.1
0	0.03	0.0709
0	0.06	0.0436
0	0.09	0.0181
0	0.12	-0.0056
0	0.15	-0.0275
0	0.18	-0.0476
0	0.21	-0.0659
0	0.24	-0.0824
0	0.27	-0.0971
0	0.3	-0.11
0	0.33	-0.1211
0	0.36	-0.1304
0	0.39	-0.1379
0	0.42	-0.1436
0	0.45	-0.1475
0	0.48	-0.1496
0	0.51	-0.1499
0	0.54	-0.1484
0	0.57	-0.1451
0	0.6	-0.14
0	0.63	-0.1331
0	0.66	-0.1244
0	0.69	-0.1139
0	0.72	-0.1016
0	0.75	-0.0875
0	0.78	-0.0716
0	0.81	-0.0539
0	0.84	-0.0344
0	0.87	-0.0131
0	0.9	0.01
0	0.93	0.0349
0	0.96	0.0616
0	0.99	0.0901
0.01	0	0.1
0.01	0.03	0.0761076
0.01	0.06	0.0526839
0.01	0.09	0.0300778
0.01	0.12	0.00854961
0.01	0.15	-0.0117051
0.01	0.18	-0.0305382
0.01	0.21	-0.0478358
0.01	0.24	-0.0635076
0.01	0.27	-0.0774791
0.01	0.3	-0.0896847
0.01	0.33	-0.100062
0.01	0.36	-0.109116
0.01	0.39	-0.117591
0.01	0.42	-0.125325
0.01	0.45	-0.132189
0.01	0.48	-0.138132
0.01	0.51	-0.14353
0.01	0.54	-0.144652
0.01	0.57	-0.142401
0.01	0.6	-0.137721
0.01	0.63	-0.130991
0.01	0.66	-0.122361
0.01	0.69	-0.111898
0.01	0.72	-0.0996315
0.01	0.75	-0.0855938
0.01	0.78	-0.0698406
0.01	0.81	-0.0525039
0.01	0.84	-0.0339106
0.01	0.87	-0.014877
0.01	0.9	0.00255747
0.01	0.93	0.0132936
0.01	0.96	0.004584
0.01	0.99	0.1
0.02	0	0.1
0.02	0.03	0.0791169
0.02	0.06	0.0585047
0.02	0.09	0.0384163
0.02	0.12	0.0190784
0.02	0.15	0.000688106
0.02	0.18	-0.0165868
0.02	0.21	-0.0326061
0.02	0.24	-0.0472547
0.02	0.27	-0.0604406
0.02	0.3	-0.072093
0.02	0.33	-0.0821622
0.02	0.36	-0.091189
0.02	0.39	-0.100021
0.02	0.42	-0.108607
0.02	0.45	-0.116942
0.02	0.48	-0.1252
0.02	0.51	-0.134828
0.02	0.54	-0.139223
0.02	0.57	-0.138732
0.02	0.6	-0.134938
0.02	0.63	-0.128639
0.02	0.66	-0.120224
0.02	0.69	-0.109885
0.02	0.72	-0.0977353
0.02	0.75	-0.0838788
0.02	0.78	-0.0684788
0.02	0.81	-0.0518532
0.02	0.84	-0.034642
0.02	0.87	-0.0180889
0.02	0.9	-0.00442664
0.02	0.93	0.00294994
0.02	0.96	0.00101722
0.02	0.99	0.1
0.03	0	0.1
0.03	0.03	0.0813605
0.03	0.06	0.0629229
0.03	0.09	0.044883
0.03	0.12	0.0274251
0.03	0.15	0.0107184
0.03	0.18	-0.00508565
0.03	0.21	-0.0198545
0.03	0.24	-0.0334758
0.03	0.27	-0.045857
0.03	0.3	-0.0569256
0.03	0.33	-0.0666291
